sr_no,name,operator,capacity_mmtpa,capacity_kbd
1,Barauni,IOCL,6.0,120.0
2,Koyali,IOCL,13.7,274.0
3,Haldia,IOCL,8.0,160.0
4,Mathura,IOCL,8.0,160.0
5,Panipat,IOCL,15.0,300.0
6,Guwahati,IOCL,1.2,24.0
7,Digboi,IOCL,0.65,13.0
8,Bongaigaon,IOCL,2.7,54.0
9,Paradip,HPCL,15.0,300.0
10,Mumbai (HPCL),HPCL,9.5,190.0
11,Visakh,HPCL,15.0,300.0
12,HMEL-Bathinda,HMEL (HPCL-Mittal JV),11.3,226.0
13,Mumbai (BPCL),BPCL,12.0,240.0
14,Kochi,BPCL,15.5,310.0
15,BORL-Bina,BORL (BPCL-Oman JV),7.8,156.0
16,Manali,CPCL,10.5,210.0
17,CBR,ONGC-CPCL JV (Cauvery Basin Refinery),0.0,0.0
18,Numaligarh,NRL (ONGC group),3.0,60.0
19,Tatipaka,ONGC,0.07,1.4
20,MRPL-Mangalore,MRPL (ONGC subsidiary),15.0,300.0
21,RIL-Jamnagar (DTA),Reliance,33.0,660.0
22,RIL-Jamnagar (SEZ),Reliance,35.2,704.0
23,NEL-Vadinar,Nayara Energy,20.0,400.0
